user_id	group_code_0	group_code_1	group_code_2	leaf_group_id	group_age_bucket	group_gender_id	group_city_id	group_l1_seq	group_leaf_seq
74	1	2	1	16	3	2	14	19,21,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	63,101,116,118,46,55,78,130,0,0,0,0,0,0,0,0,0,0,0,0
75	1	1	0	2	3	2	12	3,9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	60,37,39,85,120,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76	0	2	2	19	5	1	6	18,16,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98,46,77,80,81,122,79,101,0,0,0,0,0,0,0,0,0,0,0,0
77	1	0	2	6	2	2	11	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	24,48,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78	0	1	1	10	5	2	2	13,18,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	40,70,71,74,94,124,104,0,0,0,0,0,0,0,0,0,0,0,0,0
79	2	2	2	17	5	1	15	4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	65,92,108,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80	1	1	0	2	3	2	12	3,9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	60,37,39,85,120,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81	1	1	1	0	3	2	9	1,2,4,7,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,4,83,6,32,34,51,52,2,91,31,110,125,133,0,0,0,0,0,0
82	0	2	0	7	4	1	8	13,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83	1	2	1	16	3	2	14	19,21,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	63,101,116,118,46,55,78,130,0,0,0,0,0,0,0,0,0,0,0,0
84	0	2	2	19	5	1	6	18,16,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98,46,77,80,81,122,79,101,0,0,0,0,0,0,0,0,0,0,0,0
85	2	1	2	11	2	1	13	2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	61,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86	1	2	1	16	3	2	14	19,21,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	63,101,116,118,46,55,78,130,0,0,0,0,0,0,0,0,0,0,0,0
87	0	2	2	19	5	1	6	18,16,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98,46,77,80,81,122,79,101,0,0,0,0,0,0,0,0,0,0,0,0
88	1	1	1	0	3	2	9	1,2,4,7,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,4,83,6,32,34,51,52,2,91,31,110,125,133,0,0,0,0,0,0
89	2	0	1	9	4	1	12	5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	36,35,113,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90	2	1	1	12	3	1	5	1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,47,31,92,71,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91	1	2	1	16	3	2	14	19,21,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	63,101,116,118,46,55,78,130,0,0,0,0,0,0,0,0,0,0,0,0
92	0	0	1	1	4	1	2	5,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,9,10,67,69,99,7,115,58,0,0,0,0,0,0,0,0,0,0,0
93	0	1	2	20	5	1	11	3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	84,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94	1	1	2	21	3	2	4	3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	96,107,60,98,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95	0	0	0	22	4	1	8	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	100,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96	2	2	2	17	5	1	15	4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	65,92,108,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97	1	1	1	0	3	2	9	1,2,4,7,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,4,83,6,32,34,51,52,2,91,31,110,125,133,0,0,0,0,0,0
98	0	2	2	19	5	1	6	18,16,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98,46,77,80,81,122,79,101,0,0,0,0,0,0,0,0,0,0,0,0
99	1	0	1	13	2	2	7	12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	26,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100	2	0	0	15	3	1	6	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,76,54,69,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
