user_id	age	gender	city	click_seq	purchase_seq	search_seq
11	26	female	Tianjin	2026-05-30 10:15,Silk Scarf,Apparel,Accessory;2026-05-29 14:30,Pearl Earrings,Jewelry,Earrings;2026-05-28 20:00,Leather Handbag,Bags,Handbag;2026-04-18 11:20,Trench Coat,Apparel,Women Outerwear	2026-05-29 15:00,Pearl Earrings,Jewelry,Earrings,0.94;2026-04-19 12:00,Trench Coat,Apparel,Women Outerwear,0.87	2026-05-30 10:00,silk scarf;2026-05-29 14:20,pearl earrings;2026-05-28 19:50,leather handbag
12	33	male	Chongqing	2026-05-30 21:30,Gaming Mouse,Electronics,PC Accessory;2026-05-29 19:45,Graphics Card,Electronics,PC Component;2026-05-27 22:10,Game Controller,Electronics,Gaming;2026-05-01 16:00,Gaming Headset,Electronics,Gaming	2026-05-29 20:15,Graphics Card,Electronics,PC Component,0.26;2026-05-02 17:00,Gaming Headset,Electronics,Gaming,0.7	2026-05-30 21:20,gaming mouse;2026-05-29 19:30,graphics card;2026-05-27 22:00,game controller
13	28	female	Shanghai	2026-05-30 07:30,Protein Powder,Health,Supplement;2026-05-29 06:45,Resistance Band,Sports,Fitness Gear;2026-05-28 18:20,Sports Bra,Apparel,Sportswear;2026-05-20 19:00,Smart Scale,Home Appliance,Health Device	2026-05-29 07:00,Protein Powder,Health,Supplement,0.74;2026-05-21 20:00,Smart Scale,Home Appliance,Health Device,0.41	2026-05-30 07:20,protein powder;2026-05-29 06:30,resistance band;2026-05-28 18:10,sports bra
14	48	female	Beijing	2026-03-22 14:00,Air Purifier,Home Appliance,Air Treatment;2026-02-10 10:30,Humidifier,Home Appliance,Air Treatment	2026-03-23 15:00,Air Purifier,Home Appliance,Air Treatment,0.29;2026-02-11 11:00,Humidifier,Home Appliance,Air Treatment,0.29	2026-03-22 13:50,air purifier;2026-02-10 10:20,humidifier
15	23	male	Hangzhou	2026-05-30 16:40,Skateboard,Sports,Skateboarding;2026-05-29 15:20,Graphic Tee,Apparel,Men Top;2026-05-28 13:10,Snapback Cap,Apparel,Accessory	2026-05-29 15:45,Graphic Tee,Apparel,Men Top,0.76	2026-05-30 16:30,skateboard;2026-05-29 15:10,graphic tee;2026-05-28 13:00,snapback cap
16	36	female	Shenzhen	2026-05-30 11:50,Cast Iron Pan,Kitchenware,Cookware;2026-05-29 09:25,Chef Knife,Kitchenware,Cutlery;2026-05-28 17:40,Spice Set,Grocery,Seasoning;2026-04-05 12:00,Dinner Plates,Kitchenware,Tableware	2026-05-29 10:00,Chef Knife,Kitchenware,Cutlery,0.51;2026-04-06 13:00,Dinner Plates,Kitchenware,Tableware,0.76	2026-05-30 11:40,cast iron pan;2026-05-29 09:15,chef knife;2026-05-28 17:30,spice set
17	30	male	Guangzhou	2026-05-30 08:30,Road Bike,Sports,Cycling;2026-05-29 07:50,Cycling Helmet,Sports,Cycling;2026-05-27 19:30,Bike Light,Sports,Cycling;2026-03-15 09:00,Cycling Jersey,Apparel,Sportswear	2026-05-29 08:20,Cycling Helmet,Sports,Cycling,0.7;2026-03-16 10:00,Cycling Jersey,Apparel,Sportswear,0.61	2026-05-30 08:20,road bike;2026-05-29 07:40,cycling helmet;2026-05-27 19:20,bike light
18	21	female	Wuhan	2026-05-30 20:15,Watercolor Set,Hobby,Art Supply;2026-05-29 18:40,Sketchbook,Stationery,Notebook;2026-05-28 16:20,Brush Pen Set,Stationery,Pen	2026-05-29 19:00,Sketchbook,Stationery,Notebook,0.45	2026-05-30 20:00,watercolor set;2026-05-29 18:30,sketchbook;2026-05-28 16:10,brush pen
19	42	male	Nanjing	2026-04-28 10:00,Whisky Glass Set,Kitchenware,Tableware;2026-03-10 19:30,Single Malt Whisky,Grocery,Liquor	2026-04-29 11:00,Whisky Glass Set,Kitchenware,Tableware,0.63;2026-03-11 20:00,Single Malt Whisky,Grocery,Liquor,0.34	2026-04-28 09:50,whisky glass;2026-03-10 19:20,single malt whisky
20	25	female	Suzhou	2026-05-30 12:30,Knit Cardigan,Apparel,Women Top;2026-05-29 10:50,Ankle Boots,Footwear,Women Boots;2026-05-28 14:15,Wool Beanie,Apparel,Accessory;2026-05-18 11:00,Plaid Skirt,Apparel,Women Skirt	2026-05-29 11:20,Ankle Boots,Footwear,Women Boots,0.44;2026-05-19 12:00,Plaid Skirt,Apparel,Women Skirt,0.51	2026-05-30 12:20,knit cardigan;2026-05-29 10:40,ankle boots;2026-05-28 14:00,wool beanie
21	37	male	Xian	2026-05-30 09:40,DSLR Camera,Electronics,Camera;2026-05-29 20:10,Camera Tripod,Electronics,Camera Accessory;2026-05-28 11:30,SD Card,Electronics,Storage;2026-05-05 15:00,Camera Bag,Bags,Camera Bag	2026-05-29 20:40,Camera Tripod,Electronics,Camera Accessory,0.21;2026-05-06 16:00,Camera Bag,Bags,Camera Bag,0.8	2026-05-30 09:30,dslr camera;2026-05-29 20:00,camera tripod;2026-05-28 11:20,sd card
22	50	female	Tianjin	2026-01-20 10:00,Embroidery Kit,Hobby,Handcraft;2025-12-05 14:30,Knitting Yarn,Hobby,Handcraft	2026-01-21 11:00,Embroidery Kit,Hobby,Handcraft,0.88;2025-12-06 15:00,Knitting Yarn,Hobby,Handcraft,0.88	2026-01-20 09:50,embroidery kit;2025-12-05 14:20,knitting yarn
23	24	male	Chengdu	2026-05-30 22:00,Wireless Earbuds,Electronics,Audio;2026-05-29 21:15,Bluetooth Speaker,Electronics,Audio;2026-05-28 19:50,Phone Case,Electronics,Phone Accessory	2026-05-29 21:40,Bluetooth Speaker,Electronics,Audio,0.19	2026-05-30 21:50,wireless earbuds;2026-05-29 21:00,bluetooth speaker;2026-05-28 19:40,phone case
24	32	female	Chongqing	2026-05-30 17:20,Facial Serum,Beauty,Skincare;2026-05-29 16:00,Sheet Mask,Beauty,Skincare;2026-05-28 10:45,Eye Cream,Beauty,Skincare;2026-04-12 13:30,Cleansing Foam,Beauty,Skincare	2026-05-29 16:30,Sheet Mask,Beauty,Skincare,0.6;2026-04-13 14:00,Cleansing Foam,Beauty,Skincare,0.6	2026-05-30 17:10,facial serum;2026-05-29 15:50,sheet mask;2026-05-28 10:30,eye cream
25	unknown	male	Qingdao	2026-05-30 14:10,Running Shoes,Footwear,Men Sneakers;2026-05-29 18:30,Sports Socks,Apparel,Sportswear;2026-05-27 09:20,Gym Shorts,Apparel,Sportswear	2026-05-29 19:00,Running Shoes,Footwear,Men Sneakers,0.43	2026-05-30 14:00,running shoes;2026-05-29 18:20,gym shorts
26	29	female	Dalian	2026-05-30 10:40,Scented Candle,Home Decor,Fragrance;2026-05-28 20:15,Throw Pillow,Home Decor,Cushion;2026-05-26 13:30,Wall Art,Home Decor,Decor	2026-05-28 20:40,Throw Pillow,Home Decor,Cushion,0.72	2026-05-30 10:30,scented candle;2026-05-28 20:00,throw pillow
27	44	male	Xiamen	2026-04-15 09:00,Golf Club Set,Sports,Golf;2026-02-20 10:30,Golf Balls,Sports,Golf	2026-04-16 10:00,Golf Club Set,Sports,Golf,0.75	2026-04-15 08:50,golf club set
28	35	female	Changsha	2026-05-30 19:30,Hair Dryer,Home Appliance,Hair Care;2026-05-29 12:10,Hair Straightener,Home Appliance,Hair Care;2026-05-28 08:00,Shampoo Set,Beauty,Hair Care	2026-05-29 12:40,Hair Straightener,Home Appliance,Hair Care,0.93	2026-05-30 19:20,hair dryer;2026-05-29 12:00,hair straightener
29	39	male	Kunming	2026-05-30 21:00,Smart Watch,Electronics,Wearable;2026-05-29 17:20,Fitness Tracker,Electronics,Wearable;2026-05-27 14:40,Watch Band,Electronics,Wearable Accessory;2026-05-03 10:00,Wireless Charger,Electronics,Charging	2026-05-29 17:50,Fitness Tracker,Electronics,Wearable,0.15;2026-05-04 11:00,Wireless Charger,Electronics,Charging,0.24	2026-05-30 20:50,smart watch;2026-05-29 17:10,fitness tracker
30	51	unknown	Harbin	2026-03-18 11:00,Wool Blanket,Home Textile,Bedding;2026-01-22 09:30,Down Jacket,Apparel,Men Outerwear	2026-03-19 12:00,Wool Blanket,Home Textile,Bedding,0.23;2026-01-23 10:00,Down Jacket,Apparel,Men Outerwear,0.56	2026-03-18 10:50,wool blanket;2026-01-22 09:20,down jacket
31	27	male	Shanghai	2026-05-30 13:50,Leather Wallet,Bags,Wallet;2026-05-29 11:25,Sunglasses,Apparel,Accessory;2026-05-28 16:10,Leather Belt,Apparel,Accessory	2026-05-29 11:50,Sunglasses,Apparel,Accessory,0.8	2026-05-30 13:40,leather wallet;2026-05-29 11:15,sunglasses
32	23	other	Beijing	2026-05-30 22:30,Vinyl Record,Hobby,Music;2026-05-29 20:40,Turntable,Electronics,Audio;2026-05-27 18:15,Headphones,Electronics,Audio	2026-05-29 21:10,Turntable,Electronics,Audio,0.92	2026-05-30 22:20,vinyl record;2026-05-29 20:30,turntable
33	46	female	Hangzhou	2026-02-28 14:20,Sewing Machine,Home Appliance,Craft;2025-12-15 10:00,Fabric Bundle,Hobby,Handcraft	2026-03-01 15:00,Sewing Machine,Home Appliance,Craft,0.56	2026-02-28 14:10,sewing machine
34	30	male	Shenzhen	2026-05-30 08:45,Drone,Electronics,Drone;2026-05-29 19:00,Drone Battery,Electronics,Drone Accessory;2026-05-28 12:30,SD Card,Electronics,Storage;2026-05-08 09:00,Camera Gimbal,Electronics,Camera Accessory	2026-05-29 19:30,Drone Battery,Electronics,Drone Accessory,0.23;2026-05-09 10:00,Camera Gimbal,Electronics,Camera Accessory,0.53	2026-05-30 08:35,drone;2026-05-29 18:50,drone battery
35	28	other	Guangzhou	2026-05-30 17:50,Acrylic Paint Set,Hobby,Art Supply;2026-05-29 15:30,Canvas Board,Hobby,Art Supply;2026-05-27 10:20,Paint Brushes,Stationery,Art Supply	2026-05-29 16:00,Canvas Board,Hobby,Art Supply,0.67	2026-05-30 17:40,acrylic paint;2026-05-29 15:20,canvas board
36	53	male	Chengdu	2026-04-02 09:30,Tea Set,Kitchenware,Tableware;2026-01-18 14:00,Oolong Tea,Grocery,Tea	2026-04-03 10:00,Tea Set,Kitchenware,Tableware,0.2;2026-01-19 15:00,Oolong Tea,Grocery,Tea,0.75	2026-04-02 09:20,tea set;2026-01-18 13:50,oolong tea
37	20	female	Wuhan	2026-05-30 23:40,Phone Grip,Electronics,Phone Accessory;2026-05-30 21:20,LED Strip,Electronics,Lighting;2026-05-29 19:00,Desk Lamp,Home Appliance,Lighting	2026-05-30 21:50,LED Strip,Electronics,Lighting,0.28	2026-05-30 23:30,phone grip;2026-05-30 21:10,led strip;2026-05-29 18:50,desk lamp
38	41	male	Nanjing	2026-05-29 10:20,Lawn Mower,Tools,Garden Tool;2026-05-15 09:00,Garden Hose,Tools,Garden;2026-03-28 11:30,Plant Pots,Home & Garden,Gardening	2026-05-16 10:00,Garden Hose,Tools,Garden,0.15;2026-03-29 12:00,Plant Pots,Home & Garden,Gardening,0.35	2026-05-29 10:10,lawn mower;2026-05-15 08:50,garden hose
39	34	female	Suzhou	2026-05-30 16:15,Yoga Pants,Apparel,Sportswear;2026-05-29 09:40,Foam Roller,Sports,Fitness Gear;2026-05-28 18:30,Water Bottle,Sports,Hydration;2026-05-22 07:00,Yoga Block,Sports,Fitness Gear	2026-05-29 10:10,Foam Roller,Sports,Fitness Gear,0.65;2026-05-23 08:00,Yoga Block,Sports,Fitness Gear,0.65	2026-05-30 16:05,yoga pants;2026-05-29 09:30,foam roller;2026-05-28 18:20,water bottle
40	26	female	Xian	2026-05-30 11:20,Enamel Pin Set,Hobby,Collectible;2026-05-29 14:50,Tote Bag,Bags,Tote;2026-05-27 20:10,Beanie Hat,Apparel,Accessory	2026-05-29 15:20,Tote Bag,Bags,Tote,0.18	2026-05-30 11:10,enamel pin;2026-05-29 14:40,tote bag
41	47	male	Tianjin	2026-03-05 10:00,Electric Shaver,Beauty,Grooming;2026-01-10 09:30,Beard Trimmer,Beauty,Grooming	2026-03-06 11:00,Electric Shaver,Beauty,Grooming,0.73	2026-03-05 09:50,electric shaver
42	31	female	Chongqing	2026-05-30 18:40,Diffuser,Home Appliance,Fragrance;2026-05-29 13:15,Essential Oil Set,Beauty,Aromatherapy;2026-05-28 09:50,Bath Salts,Beauty,Bath	2026-05-29 13:45,Essential Oil Set,Beauty,Aromatherapy,0.43	2026-05-30 18:30,diffuser;2026-05-29 13:05,essential oil
43	22	male	Qingdao	2026-05-30 20:50,Basketball,Sports,Basketball;2026-05-29 17:30,Basketball Shoes,Footwear,Men Sneakers;2026-05-27 15:00,Sports Jersey,Apparel,Sportswear	2026-05-29 18:00,Basketball Shoes,Footwear,Men Sneakers,0.91	2026-05-30 20:40,basketball;2026-05-29 17:20,basketball shoes
44	38	female	Dalian	2026-05-29 11:40,Slow Cooker,Home Appliance,Cookware;2026-05-20 09:20,Cookbook,Books,Cooking;2026-04-08 14:00,Storage Containers,Kitchenware,Storage	2026-05-21 10:00,Cookbook,Books,Cooking,0.51;2026-04-09 15:00,Storage Containers,Kitchenware,Storage,0.41	2026-05-29 11:30,slow cooker;2026-05-20 09:10,cookbook
45	57	male	Xiamen	2026-02-12 10:30,Walking Stick,Health,Mobility;2025-11-25 09:00,Compression Socks,Health,Wellness	2026-02-13 11:00,Walking Stick,Health,Mobility,0.29	2026-02-12 10:20,walking stick
46	29	female	Changsha	2026-05-30 12:50,Maxi Dress,Apparel,Women Dress;2026-05-29 10:30,Wedge Sandals,Footwear,Women Sandals;2026-05-28 19:15,Straw Hat,Apparel,Accessory;2026-05-14 11:00,Beach Towel,Home Textile,Towel	2026-05-29 11:00,Wedge Sandals,Footwear,Women Sandals,0.53;2026-05-15 12:00,Beach Towel,Home Textile,Towel,0.41	2026-05-30 12:40,maxi dress;2026-05-29 10:20,wedge sandals
47	33	other	Kunming	2026-05-30 21:40,Mechanical Pencil,Stationery,Pen;2026-05-29 16:20,Planner Notebook,Stationery,Notebook;2026-05-27 13:50,Washi Tape,Stationery,Stickers	2026-05-29 16:50,Planner Notebook,Stationery,Notebook,0.18	2026-05-30 21:30,mechanical pencil;2026-05-29 16:10,planner notebook
48	43	male	Harbin	2026-03-30 09:00,Ice Skates,Sports,Winter Sports;2026-01-05 14:30,Thermal Gloves,Apparel,Accessory	2026-03-31 10:00,Ice Skates,Sports,Winter Sports,0.82	2026-03-30 08:50,ice skates
49	25	female	Shanghai	2026-05-30 15:10,Bubble Tea Kit,Grocery,Beverage;2026-05-29 18:00,Reusable Straw,Kitchenware,Drinkware;2026-05-28 11:20,Tumbler Cup,Kitchenware,Drinkware	2026-05-29 18:30,Reusable Straw,Kitchenware,Drinkware,0.47	2026-05-30 15:00,bubble tea kit;2026-05-29 17:50,reusable straw
50	unknown	female	Beijing	2026-05-29 09:50,Wool Coat,Apparel,Women Outerwear;2026-05-12 14:00,Cashmere Scarf,Apparel,Accessory;2026-04-20 10:30,Leather Gloves,Apparel,Accessory	2026-05-13 15:00,Cashmere Scarf,Apparel,Accessory,0.91	2026-05-29 09:40,wool coat;2026-05-12 13:50,cashmere scarf
51	36	male	Hangzhou	2026-05-30 08:20,Hiking Backpack,Bags,Backpack;2026-05-29 07:10,Trekking Poles,Sports,Hiking;2026-05-27 19:40,Water Filter,Sports,Camping;2026-05-06 09:00,Sleeping Bag,Sports,Camping	2026-05-29 07:40,Trekking Poles,Sports,Hiking,0.9;2026-05-07 10:00,Sleeping Bag,Sports,Camping,0.61	2026-05-30 08:10,hiking backpack;2026-05-29 07:00,trekking poles
52	30	female	Shenzhen	2026-05-30 17:30,Nail Polish Set,Beauty,Nail;2026-05-29 14:10,Nail File Kit,Beauty,Nail;2026-05-28 10:00,Cuticle Oil,Beauty,Nail	2026-05-29 14:40,Nail File Kit,Beauty,Nail,0.74	2026-05-30 17:20,nail polish;2026-05-29 14:00,nail file
53	49	male	Guangzhou	2026-04-10 10:00,Pressure Cooker,Home Appliance,Cookware;2026-02-05 09:30,Rice Cooker,Home Appliance,Cookware	2026-04-11 11:00,Pressure Cooker,Home Appliance,Cookware,0.95;2026-02-06 10:00,Rice Cooker,Home Appliance,Cookware,0.95	2026-04-10 09:50,pressure cooker;2026-02-05 09:20,rice cooker
54	21	female	Chengdu	2026-05-30 22:10,Glitter Eyeshadow,Beauty,Eye Makeup;2026-05-30 20:30,Makeup Brush Set,Beauty,Tools;2026-05-29 18:40,Setting Spray,Beauty,Face Makeup	2026-05-30 20:50,Makeup Brush Set,Beauty,Tools,0.88	2026-05-30 22:00,glitter eyeshadow;2026-05-30 20:20,makeup brush
55	40	unknown	Wuhan	2026-05-28 09:30,Wireless Router,Electronics,Networking;2026-05-18 14:00,Ethernet Cable,Electronics,Networking;2026-03-22 10:00,Network Switch,Electronics,Networking	2026-05-19 15:00,Ethernet Cable,Electronics,Networking,0.42	2026-05-28 09:20,wireless router;2026-05-18 13:50,ethernet cable
56	34	male	Nanjing	2026-05-30 19:50,Smart Bulb,Electronics,Lighting;2026-05-29 16:40,Smart Plug,Electronics,Smart Home;2026-05-27 12:20,Motion Sensor,Electronics,Smart Home;2026-05-04 09:00,Smart Speaker,Electronics,Audio	2026-05-29 17:10,Smart Plug,Electronics,Smart Home,0.87;2026-05-05 10:00,Smart Speaker,Electronics,Audio,0.6	2026-05-30 19:40,smart bulb;2026-05-29 16:30,smart plug
57	27	female	Suzhou	2026-05-30 13:30,Picnic Basket,Home & Garden,Outdoor;2026-05-29 11:00,Picnic Blanket,Home Textile,Outdoor;2026-05-28 15:50,Insulated Cooler,Sports,Camping	2026-05-29 11:30,Picnic Blanket,Home Textile,Outdoor,0.52	2026-05-30 13:20,picnic basket;2026-05-29 10:50,picnic blanket
58	52	male	Xian	2026-01-28 10:00,Chess Set,Hobby,Board Game;2025-11-30 14:30,Puzzle 1000pc,Toys,Puzzle	2026-01-29 11:00,Chess Set,Hobby,Board Game,0.68	2026-01-28 09:50,chess set
59	24	female	Tianjin	2026-05-30 21:20,K-Pop Album,Hobby,Music;2026-05-29 19:30,Light Stick,Hobby,Collectible;2026-05-28 17:00,Poster Frame,Home Decor,Decor	2026-05-29 20:00,Light Stick,Hobby,Collectible,0.72	2026-05-30 21:10,kpop album;2026-05-29 19:20,light stick
60	unknown	male	Chongqing	2026-05-30 08:00,Electric Kettle,Home Appliance,Kitchen;2026-05-29 06:30,Toaster,Home Appliance,Kitchen;2026-05-27 18:00,Bread Maker,Home Appliance,Kitchen	2026-05-29 07:00,Toaster,Home Appliance,Kitchen,0.17	2026-05-30 07:50,electric kettle;2026-05-29 06:20,toaster
61	35	unknown	Qingdao	2026-05-29 14:20,Surfboard,Sports,Water Sports;2026-05-16 10:00,Wetsuit,Apparel,Sportswear;2026-04-02 09:00,Swim Goggles,Sports,Swimming	2026-05-17 11:00,Wetsuit,Apparel,Sportswear,0.57	2026-05-29 14:10,surfboard;2026-05-16 09:50,wetsuit
62	29	other	Dalian	2026-05-30 16:50,Cosplay Wig,Apparel,Costume;2026-05-29 13:40,Cosplay Costume,Apparel,Costume;2026-05-27 11:10,Contact Lens Case,Beauty,Accessory	2026-05-29 14:10,Cosplay Costume,Apparel,Costume,0.7	2026-05-30 16:40,cosplay wig;2026-05-29 13:30,cosplay costume
63	46	male	Xiamen	2026-03-15 09:30,Telescope,Hobby,Astronomy;2026-01-12 14:00,Star Chart,Books,Science	2026-03-16 10:00,Telescope,Hobby,Astronomy,0.29	2026-03-15 09:20,telescope
64	32	female	Changsha	2026-05-30 12:10,Crossbody Bag,Bags,Handbag;2026-05-29 09:50,Silk Blouse,Apparel,Women Top;2026-05-28 18:00,Midi Skirt,Apparel,Women Skirt;2026-05-19 10:30,Block Heels,Footwear,Women Heels	2026-05-29 10:20,Silk Blouse,Apparel,Women Top,0.18;2026-05-20 11:00,Block Heels,Footwear,Women Heels,0.66	2026-05-30 12:00,crossbody bag;2026-05-29 09:40,silk blouse
65	28	female	Kunming	2026-05-30 20:00,Board Game Expansion,Hobby,Board Game;2026-05-29 18:20,Dice Set,Hobby,Board Game;2026-05-27 14:30,Card Sleeves,Hobby,Collectible	2026-05-29 18:50,Dice Set,Hobby,Board Game,0.86	2026-05-30 19:50,board game;2026-05-29 18:10,dice set
66	39	male	Harbin	2026-05-29 10:40,Snow Boots,Footwear,Winter Boots;2026-05-10 09:00,Ski Goggles,Sports,Winter Sports;2026-02-18 14:00,Ski Jacket,Apparel,Men Outerwear	2026-05-11 10:00,Ski Goggles,Sports,Winter Sports,0.35;2026-02-19 15:00,Ski Jacket,Apparel,Men Outerwear,0.35	2026-05-29 10:30,snow boots;2026-05-10 08:50,ski goggles
67	23	female	Shanghai	2026-05-30 23:00,Plushie Bag,Bags,Backpack;2026-05-30 21:10,Anime Figure,Hobby,Collectible;2026-05-29 19:40,Manga Volume,Books,Comics	2026-05-30 21:40,Anime Figure,Hobby,Collectible,0.48	2026-05-30 22:50,plushie bag;2026-05-30 21:00,anime figure
68	44	male	Beijing	2026-04-22 09:00,Office Monitor,Electronics,Display;2026-02-28 10:30,Ergonomic Mouse,Electronics,PC Accessory	2026-04-23 10:00,Office Monitor,Electronics,Display,0.43;2026-03-01 11:00,Ergonomic Mouse,Electronics,PC Accessory,0.38	2026-04-22 08:50,office monitor;2026-02-28 10:20,ergonomic mouse
69	30	female	Hangzhou	2026-05-30 17:00,Tea Tree Toner,Beauty,Skincare;2026-05-29 14:30,Clay Mask,Beauty,Skincare;2026-05-28 09:00,Spot Treatment,Beauty,Skincare;2026-05-21 19:00,Facial Roller,Beauty,Tools	2026-05-29 15:00,Clay Mask,Beauty,Skincare,0.77;2026-05-22 20:00,Facial Roller,Beauty,Tools,0.32	2026-05-30 16:50,tea tree toner;2026-05-29 14:20,clay mask
70	26	male	Shenzhen	2026-05-30 22:40,Synth Keyboard,Electronics,Musical Instrument;2026-05-29 20:00,MIDI Controller,Electronics,Musical Instrument;2026-05-27 16:30,Studio Monitor,Electronics,Audio	2026-05-29 20:30,MIDI Controller,Electronics,Musical Instrument,0.2	2026-05-30 22:30,synth keyboard;2026-05-29 19:50,midi controller
71	37	male	Guangzhou	2026-05-29 08:50,Car Phone Mount,Auto,Car Accessory;2026-05-15 09:30,Dash Cam,Auto,Car Electronics;2026-03-20 10:00,Car Vacuum,Auto,Car Accessory	2026-05-16 10:00,Dash Cam,Auto,Car Electronics,0.72	2026-05-29 08:40,car phone mount;2026-05-15 09:20,dash cam
72	48	female	Chengdu	2026-03-08 10:00,Aloe Plant,Home & Garden,Plant;2026-01-15 14:30,Plant Fertilizer,Home & Garden,Gardening	2026-03-09 11:00,Aloe Plant,Home & Garden,Plant,0.47	2026-03-08 09:50,aloe plant
73	22	male	Wuhan	2026-05-30 21:50,Energy Drink Pack,Grocery,Beverage;2026-05-29 18:10,Protein Bar Box,Grocery,Snack;2026-05-27 13:20,Pre Workout,Health,Supplement	2026-05-29 18:40,Protein Bar Box,Grocery,Snack,0.4	2026-05-30 21:40,energy drink;2026-05-29 18:00,protein bar
74	33	female	Nanjing	2026-05-30 14:40,Linen Curtains,Home Textile,Window;2026-05-29 11:50,Curtain Rod,Home & Garden,Window;2026-05-28 16:00,Tieback Set,Home Textile,Window	2026-05-29 12:20,Curtain Rod,Home & Garden,Window,0.55	2026-05-30 14:30,linen curtains;2026-05-29 11:40,curtain rod
