user_id	item_name	l1_category	leaf_category	label
53	Desk Lamp	Home Appliance	Lighting	1
40	Camera Bag	Bags	Camera Bag	1
94	Cuticle Oil	Beauty	Nail	1
57	Wireless Earbuds	Electronics	Audio	0
66	Straw Hat	Apparel	Accessory	1
10	Lawn Mower	Tools	Garden Tool	1
89	Leather Gloves	Apparel	Accessory	0
34	Spice Set	Grocery	Seasoning	0
72	Picnic Basket	Home & Garden	Outdoor	1
81	Gym Shorts	Apparel	Sportswear	1
50	Espresso Machine	Home Appliance	Coffee	0
44	Tamper Mat	Kitchenware	Coffee	1
34	Travel Adapter	Electronics	Charging	1
53	Milk Frother	Home Appliance	Coffee	1
4	Espadrilles	Footwear	Women Flats	1
2	Gaming Desk	Furniture	Desk	1
77	Camera Bag	Bags	Camera Bag	1
87	Dinner Plates	Kitchenware	Tableware	1
74	Beach Towel	Home Textile	Towel	1
97	Crossbody Bag	Bags	Handbag	1
93	Grill Tools Set	Kitchenware	Tools	0
8	Pressure Cooker	Home Appliance	Cookware	1
60	Espresso Machine	Home Appliance	Coffee	1
49	Photo Frame Set	Home Decor	Decor	0
37	Hair Straightener	Home Appliance	Hair Care	1
9	Cat Tree	Pet	Cat Furniture	1
37	Leather Belt	Apparel	Accessory	0
43	Plant Pots	Home & Garden	Gardening	0
42	Blush Palette	Beauty	Face Makeup	1
13	Diffuser	Home Appliance	Fragrance	1
74	Neck Pillow	Home Textile	Travel	1
10	Pocket Watch	Jewelry	Watch	0
37	Baby Bottle	Mother & Baby	Feeding	0
16	Tieback Set	Home Textile	Window	0
12	Pearl Earrings	Jewelry	Earrings	0
81	Picnic Basket	Home & Garden	Outdoor	0
29	Phone Case	Electronics	Phone Accessory	1
95	Notebook Set	Stationery	Notebook	0
17	Diapers Pack	Mother & Baby	Diapers	0
68	Gaming Chair	Furniture	Seating	0
63	Running Shoes	Footwear	Women Sneakers	0
18	Card Sleeves	Hobby	Collectible	1
18	Network Switch	Electronics	Networking	0
37	Electric Kettle	Home Appliance	Kitchen	1
19	Table Runner	Home Textile	Tableware	0
8	Standing Desk	Furniture	Desk	0
35	Dice Set	Hobby	Board Game	1
60	Stand Mixer	Home Appliance	Kitchen	1
46	Running Shoes	Footwear	Women Sneakers	1
66	Foam Roller	Sports	Fitness Gear	1
79	Studio Monitor	Electronics	Audio	0
72	Notebook Set	Stationery	Notebook	0
65	Dice Set	Hobby	Board Game	1
76	Tool Box	Tools	Storage	1
54	Notebook Set	Stationery	Notebook	0
27	Sewing Machine	Home Appliance	Craft	0
7	Plush Keychain	Toys	Plush	1
14	Bread Maker	Home Appliance	Kitchen	1
6	Walking Stick	Health	Mobility	1
89	Gaming Chair	Furniture	Seating	1
66	Hair Straightener	Home Appliance	Hair Care	0
5	Gaming Desk	Furniture	Desk	0
73	Dash Cam	Auto	Car Electronics	0
74	Pearl Earrings	Jewelry	Earrings	0
67	K-Pop Album	Hobby	Music	1
90	Car Vacuum	Auto	Car Accessory	0
35	Manga Volume	Books	Comics	0
36	Tea Set	Kitchenware	Tableware	1
31	Cast Iron Pan	Kitchenware	Cookware	0
58	Poster Frame	Home Decor	Decor	0
42	Studio Monitor	Electronics	Audio	0
51	Stand Mixer	Home Appliance	Kitchen	0
27	Fishing Reel	Sports	Fishing	1
78	Sourdough Starter	Grocery	Baking	1
98	Baby Carrier	Mother & Baby	Carrier	0
26	Poster Frame	Home Decor	Decor	1
98	Storage Basket	Home & Garden	Storage	1
88	Kettlebell	Sports	Fitness Gear	1
96	Wetsuit	Apparel	Sportswear	0
58	Plush Keychain	Toys	Plush	1
56	Graphics Card	Electronics	PC Component	1
30	Cosplay Costume	Apparel	Costume	1
53	Car Vacuum	Auto	Car Accessory	0
21	Cookbook	Books	Cooking	0
16	Bubble Tea Kit	Grocery	Beverage	1
56	Power Drill	Tools	Power Tool	0
10	Vinyl Record	Hobby	Music	0
45	Walking Stick	Health	Mobility	1
99	Card Holder	Bags	Wallet	1
1	Office Chair	Furniture	Seating	0
12	Electric Shaver	Beauty	Grooming	0
100	Noise Cancel Headphones	Electronics	Audio	1
9	Cat Tree	Pet	Cat Furniture	1
86	Puzzle 1000pc	Toys	Puzzle	0
28	Diapers Pack	Mother & Baby	Diapers	0
96	Golf Club Set	Sports	Golf	1
91	Scented Candle	Home Decor	Fragrance	1
95	Brush Pen Set	Stationery	Pen	0
75	Photo Frame Set	Home Decor	Decor	0
61	Cat Tree	Pet	Cat Furniture	0
74	Garden Hose	Tools	Garden	0
15	Baby Carrier	Mother & Baby	Carrier	0
2	Reading Glasses	Health	Vision	0
93	Picnic Basket	Home & Garden	Outdoor	1
41	Picnic Basket	Home & Garden	Outdoor	0
39	Skate Wheels	Sports	Skateboarding	1
69	Canvas Board	Hobby	Art Supply	0
47	Planner Notebook	Stationery	Notebook	1
89	Linen Curtains	Home Textile	Window	0
20	Leather Gloves	Apparel	Accessory	1
18	Plush Keychain	Toys	Plush	0
21	Camera Bag	Bags	Camera Bag	1
45	Massage Gun	Health	Wellness	1
46	Smart Scale	Home Appliance	Health Device	0
57	Surfboard	Sports	Water Sports	1
17	Plush Keychain	Toys	Plush	0
85	Maxi Dress	Apparel	Women Dress	1
85	Essential Oil Set	Beauty	Aromatherapy	0
22	Rainbow Pin	Hobby	Collectible	1
18	Enamel Pin Set	Hobby	Collectible	1
24	Glitter Eyeshadow	Beauty	Eye Makeup	1
93	Cleansing Foam	Beauty	Skincare	0
94	Tool Box	Tools	Storage	0
87	Reading Glasses	Health	Vision	0
69	Beard Trimmer	Beauty	Grooming	1
62	Kettlebell	Sports	Fitness Gear	0
94	Lip Gloss Set	Beauty	Lip Makeup	1
4	Shampoo Set	Beauty	Hair Care	0
52	Facial Serum	Beauty	Skincare	1
70	Smart Thermostat	Electronics	Smart Home	1
78	Sourdough Starter	Grocery	Baking	1
3	Cushion Foundation	Beauty	Face Makeup	1
25	Sports Bra	Apparel	Sportswear	1
3	Table Runner	Home Textile	Tableware	0
26	Pocket Watch	Jewelry	Watch	0
50	Wetsuit	Apparel	Sportswear	1
72	Plant Pots	Home & Garden	Gardening	1
52	Golf Club Set	Sports	Golf	0
66	Watercolor Set	Hobby	Art Supply	0
79	Tool Box	Tools	Storage	0
98	Electric Shaver	Beauty	Grooming	0
2	Nail File Kit	Beauty	Nail	0
76	Manga Volume	Books	Comics	0
100	VR Headset	Electronics	Gaming	1
48	Wool Coat	Apparel	Women Outerwear	1
24	Facial Serum	Beauty	Skincare	1
21	Foam Roller	Sports	Fitness Gear	0
13	Golf Balls	Sports	Golf	1
76	Snow Shovel	Tools	Garden Tool	1
88	Puzzle 1000pc	Toys	Puzzle	0
35	Dash Cam	Auto	Car Electronics	0
76	Espadrilles	Footwear	Women Flats	0
92	Ethernet Cable	Electronics	Networking	1
31	Leather Wallet	Bags	Wallet	1
46	Hiking Boots	Footwear	Outdoor Boots	1
7	Plush Keychain	Toys	Plush	1
12	VR Headset	Electronics	Gaming	1
56	DSLR Camera	Electronics	Camera	1
40	Block Heels	Footwear	Women Heels	0
46	Cat Food	Pet	Cat Supply	0
49	Gaming Chair	Furniture	Seating	0
27	Hair Dryer	Home Appliance	Hair Care	0
16	Cat Food	Pet	Cat Supply	0
81	Blood Pressure Monitor	Health	Medical Device	0
45	Poster Frame	Home Decor	Decor	0
84	Tool Box	Tools	Storage	1
36	Car Phone Mount	Auto	Car Accessory	0
71	Manga Volume	Books	Comics	0
1	Clay Mask	Beauty	Skincare	1
77	Embroidery Kit	Hobby	Handcraft	1
22	Water Bottle	Sports	Hydration	0
57	Tumbler Cup	Kitchenware	Drinkware	0
43	Running Shoes	Footwear	Women Sneakers	1
48	Plush Keychain	Toys	Plush	0
49	Oolong Tea	Grocery	Tea	1
78	Card Holder	Bags	Wallet	0
5	Diapers Pack	Mother & Baby	Diapers	1
100	Pearl Earrings	Jewelry	Earrings	0
91	Tool Box	Tools	Storage	0
73	Massage Gun	Health	Wellness	1
25	Running Shoes	Footwear	Women Sneakers	1
43	Running Shoes	Footwear	Men Sneakers	1
22	Idol Photocard	Hobby	Collectible	1
11	Card Holder	Bags	Wallet	1
94	Gaming Desk	Furniture	Desk	0
41	Eye Cream	Beauty	Skincare	1
58	Paint Brushes	Stationery	Art Supply	0
75	Baby Bottle	Mother & Baby	Feeding	1
24	Pocket Watch	Jewelry	Watch	0
8	Plush Keychain	Toys	Plush	0
7	Dried Flowers	Home Decor	Floral	0
54	Sheet Mask	Beauty	Skincare	1
19	Energy Drink Pack	Grocery	Beverage	1
4	Ankle Boots	Footwear	Women Boots	1
28	Floor Lamp	Home Appliance	Lighting	1
7	Pocket Watch	Jewelry	Watch	0
51	Ice Skates	Sports	Winter Sports	1
19	Snow Shovel	Tools	Garden Tool	0
85	Basketball Shoes	Footwear	Men Sneakers	1
54	Facial Roller	Beauty	Tools	1
63	Idol Photocard	Hobby	Collectible	1
92	Card Sleeves	Hobby	Collectible	0
24	Pocket Watch	Jewelry	Watch	0
79	Ice Skates	Sports	Winter Sports	1
98	Reusable Straw	Kitchenware	Drinkware	1
38	Gaming Mouse	Electronics	PC Accessory	0
34	Camera Bag	Bags	Camera Bag	0
29	Phone Grip	Electronics	Phone Accessory	1
60	Pearl Earrings	Jewelry	Earrings	0
30	Pressure Cooker	Home Appliance	Cookware	0
84	Energy Drink Pack	Grocery	Beverage	0
40	Baby Stroller	Mother & Baby	Stroller	0
26	Cast Iron Pan	Kitchenware	Cookware	0
64	Snow Boots	Footwear	Winter Boots	1
27	Water Filter	Sports	Camping	1
9	Pocket Watch	Jewelry	Watch	0
65	Massage Gun	Health	Wellness	0
38	Curtain Rod	Home & Garden	Window	1
1	Cookbook	Books	Cooking	0
26	Wall Art	Home Decor	Decor	1
51	Cashmere Scarf	Apparel	Accessory	0
47	Brush Pen Set	Stationery	Pen	1
85	Rice Cooker	Home Appliance	Cookware	0
44	Floor Lamp	Home Appliance	Lighting	1
5	Wetsuit	Apparel	Sportswear	1
64	Packing Cubes	Bags	Travel Accessory	1
83	Grill Tools Set	Kitchenware	Tools	1
48	Leather Belt	Apparel	Accessory	1
55	Turntable	Electronics	Audio	1
30	Sports Socks	Apparel	Sportswear	1
33	Car Vacuum	Auto	Car Accessory	0
11	Travel Backpack	Bags	Backpack	1
54	Plush Keychain	Toys	Plush	0
97	Mechanical Pencil	Stationery	Pen	0
64	Chess Set	Hobby	Board Game	0
25	Storage Containers	Kitchenware	Storage	0
3	Espadrilles	Footwear	Women Flats	0
8	Gooseneck Kettle	Home Appliance	Coffee	1
40	Diaper Bag	Bags	Diaper Bag	1
84	Tire Chains	Auto	Car Accessory	1
53	Smart Bulb	Electronics	Lighting	0
4	Watch Box	Home & Garden	Storage	0
32	Spot Treatment	Beauty	Skincare	0
71	Car Phone Mount	Auto	Car Accessory	1
31	Down Jacket	Apparel	Men Outerwear	1
68	Game Controller	Electronics	Gaming	1
61	Brush Pen Set	Stationery	Pen	0
32	Audio Interface	Electronics	Audio	1
95	Watch Band	Electronics	Wearable Accessory	1
41	Glitter Eyeshadow	Beauty	Eye Makeup	1
36	Floral Summer Dress	Apparel	Women Dress	0
59	Reading Glasses	Health	Vision	0
39	Watch Box	Home & Garden	Storage	0
69	Insulated Cooler	Sports	Camping	0
2	Ergonomic Mouse	Electronics	PC Accessory	1
96	Skate Wheels	Sports	Skateboarding	1
77	Sketchbook	Stationery	Notebook	0
99	Idol Photocard	Hobby	Collectible	0
34	Motion Sensor	Electronics	Smart Home	1
50	Notebook Set	Stationery	Notebook	0
25	Desk Lamp	Home Appliance	Lighting	0
75	Dice Set	Hobby	Board Game	0
68	Watch Band	Electronics	Wearable Accessory	1
39	Ski Goggles	Sports	Winter Sports	1
10	Power Drill	Tools	Power Tool	1
13	Pocket Watch	Jewelry	Watch	0
15	Knee Pads	Sports	Protective Gear	1
90	Cosplay Costume	Apparel	Costume	1
56	Planner Notebook	Stationery	Notebook	0
82	Humidifier	Home Appliance	Air Treatment	1
100	Nail Polish Set	Beauty	Nail	0
33	Hair Straightener	Home Appliance	Hair Care	1
81	Yoga Pants	Apparel	Sportswear	1
17	Sports Bra	Apparel	Sportswear	1
39	Wall Art	Home Decor	Decor	0
92	Cookbook	Books	Cooking	0
83	Tool Box	Tools	Storage	0
5	Baby Monitor	Electronics	Baby Care	0
73	Bread Pan	Kitchenware	Bakeware	0
30	Bike Light	Sports	Cycling	0
17	Bike Light	Sports	Cycling	1
1	Knit Cardigan	Apparel	Women Top	1
6	Protein Powder	Health	Supplement	1
71	Pearl Earrings	Jewelry	Earrings	0
11	Pressure Cooker	Home Appliance	Cookware	0
59	Espresso Machine	Home Appliance	Coffee	0
83	Wool Beanie	Apparel	Accessory	0
90	Cookbook	Books	Cooking	0
93	Pearl Earrings	Jewelry	Earrings	1
99	USB-C Hub	Electronics	PC Accessory	0
88	Swim Goggles	Sports	Swimming	1
67	Bread Pan	Kitchenware	Bakeware	0
20	Graphic Tee	Apparel	Men Top	1
20	Cycling Helmet	Sports	Cycling	0
29	Linen Blouse	Apparel	Women Top	0
14	Plush Keychain	Toys	Plush	0
32	Knee Pads	Sports	Protective Gear	0
58	Acrylic Paint Set	Hobby	Art Supply	1
60	Power Drill	Tools	Power Tool	0
68	Plush Keychain	Toys	Plush	0
