user_id	label	item_id	item_l1	item_leaf	age_bucket	gender_id	city_id	is_low_activity	purchase_count	click_count	active_days	user_l1_seq	user_leaf_seq
28	0	33	15	29	4	2	16	0	1	3	3	13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97	0	156	4	95	4	2	13	0	2	4	5	1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	133,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38	1	253	16	79	5	1	8	1	2	3	5	16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86	1	129	13	62	4	2	2	0	2	4	5	21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	55,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55	1	170	5	78	4	4	7	1	1	3	4	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12	1	40	5	35	4	1	12	0	2	4	5	5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	35,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23	0	261	13	78	2	1	6	0	1	3	3	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82	0	232	19	64	4	1	16	1	1	3	4	18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13	0	196	2	110	3	2	1	0	2	4	5	9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91	1	175	20	101	4	2	7	0	1	3	3	19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88	0	11	6	10	5	2	4	1	2	2	4	4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23	1	92	5	67	2	1	6	0	1	3	3	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23	1	71	5	55	2	1	6	0	1	3	3	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35	1	25	11	24	3	3	5	0	1	3	3	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65	1	105	11	57	3	2	17	0	1	3	3	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57	1	96	20	70	3	2	9	0	1	3	3	20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72	0	278	5	58	5	2	6	1	1	2	3	21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55	0	24	10	23	4	4	7	1	1	3	4	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19	1	53	18	44	5	1	8	1	2	2	4	18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	46,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70	1	304	5	137	3	1	4	0	1	3	3	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33	1	89	13	66	5	2	3	1	1	2	3	13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70	0	258	6	55	3	1	4	0	1	3	3	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92	1	95	5	69	3	2	8	0	1	3	3	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21	1	92	5	67	4	1	10	0	2	4	5	5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	54,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80	0	126	1	31	5	4	14	1	1	2	3	9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48	0	203	7	13	5	1	18	1	1	2	3	4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95	1	76	5	58	4	4	11	1	1	3	4	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62	1	59	1	38	3	3	14	0	1	3	3	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23	0	192	22	109	2	1	6	0	1	3	3	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71	1	216	23	115	4	1	5	1	1	3	4	23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82	1	236	18	124	4	1	16	1	1	3	4	18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96	0	221	14	117	2	1	12	0	1	3	3	4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15	0	55	18	46	2	1	3	0	1	3	3	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59	1	124	11	24	2	2	11	0	1	3	3	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33	0	253	16	79	5	2	3	1	1	2	3	13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20	0	262	18	94	2	2	9	0	2	4	5	2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	51,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38	0	260	19	64	5	1	8	1	2	3	5	16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44	0	275	19	130	4	2	14	1	2	3	5	22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	88,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31	0	90	13	66	3	1	1	0	1	3	3	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9	0	118	16	80	3	2	9	0	2	3	4	15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11	0	259	21	55	3	2	11	0	2	4	5	17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	32,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84	0	24	10	23	5	1	18	1	1	2	3	16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52	0	23	9	22	3	2	4	0	1	3	3	3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79	1	88	4	65	2	1	13	0	1	3	3	4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63	0	31	15	28	5	1	15	1	1	2	3	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36	1	220	14	93	5	1	6	1	2	2	4	18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	46,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16	1	263	18	98	4	2	4	0	2	4	5	18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	44,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77	0	116	13	78	3	3	11	0	1	3	3	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67	0	31	15	28	2	2	1	1	1	3	2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78	0	23	9	22	4	2	12	0	2	4	5	18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	124,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86	0	159	3	96	4	2	2	0	2	4	5	21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	55,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47	0	289	4	41	4	3	17	0	1	3	3	12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6	0	85	19	63	5	1	6	1	2	2	4	9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22	0	119	21	81	5	2	11	1	2	2	4	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14	1	89	13	66	5	2	2	1	2	2	4	13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42	1	210	3	60	3	2	12	0	1	3	3	3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70	0	146	12	25	3	1	4	0	1	3	3	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64	0	261	13	78	3	2	16	0	2	4	5	1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	4,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62	0	32	15	28	3	3	14	0	1	3	3	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32	1	279	5	58	2	3	2	0	1	3	3	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52	1	165	3	98	3	2	4	0	1	3	3	3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80	1	243	9	90	5	4	14	1	1	2	3	9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61	1	201	4	92	4	4	13	1	1	3	4	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97	1	245	1	125	4	2	13	0	2	4	5	1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	133,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59	1	274	19	64	2	2	11	0	1	3	3	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29	0	178	10	103	4	1	17	0	2	4	5	5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	67,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51	1	158	4	15	4	1	3	0	2	4	5	4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	95,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67	1	72	7	56	2	2	1	1	1	3	2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99	1	193	7	33	3	2	15	0	2	4	5	7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44	0	294	7	83	4	2	14	1	2	3	5	22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	88,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65	0	100	1	31	3	2	17	0	1	3	3	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91	0	177	11	102	4	2	7	0	1	3	3	19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90	1	14	7	13	0	1	6	1	1	3	4	7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55	0	45	1	38	4	4	7	1	1	3	4	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49	1	296	18	98	2	2	1	0	1	3	3	18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62	1	142	1	31	3	3	14	0	1	3	3	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28	1	209	3	60	4	2	16	0	1	3	3	13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6	0	47	13	40	5	1	6	1	2	2	4	9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43	0	299	20	136	2	1	13	0	1	3	3	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41	0	84	19	62	5	1	11	1	1	2	3	3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3	1	37	7	33	2	2	3	1	1	3	3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80	0	34	16	30	5	4	14	1	1	2	3	9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75	1	19	8	18	0	2	9	0	1	3	3	8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53	1	116	13	78	5	1	5	1	2	2	4	13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40	1	72	7	56	3	2	10	0	1	3	3	7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94	1	161	3	96	3	2	10	0	1	3	3	3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57	0	75	5	58	3	2	9	0	1	3	3	20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66	1	142	1	31	4	1	18	1	2	3	5	4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	92,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10	1	117	16	79	5	1	10	1	1	1	2	16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89	0	154	1	31	2	1	5	0	2	4	5	5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34	0	54	14	45	3	1	4	0	2	4	5	5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	76,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72	1	174	21	101	5	2	6	1	1	2	3	21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81	1	83	1	38	3	2	15	0	1	3	3	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50	0	28	13	27	0	2	2	1	1	3	4	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44	1	264	18	27	4	2	14	1	2	3	5	22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	88,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34	1	302	5	69	3	1	4	0	2	4	5	5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	76,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53	1	30	13	27	5	1	5	1	2	2	4	13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4	1	246	2	126	5	1	4	1	2	3	5	4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2	1	270	6	10	4	1	2	0	3	5	7	6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77	1	72	7	56	3	3	11	0	1	3	3	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87	1	55	18	46	3	1	3	0	1	3	3	18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74	1	143	20	91	4	2	8	0	1	3	3	21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97	1	193	7	33	4	2	13	0	2	4	5	1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	133,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93	0	296	18	98	5	1	9	1	1	2	3	17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8	1	162	13	43	4	1	8	0	2	3	3	13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60	1	28	13	27	0	1	12	0	1	3	3	13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49	0	260	19	64	2	2	1	0	1	3	3	18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37	1	90	13	66	2	2	7	1	1	3	2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9	1	33	15	29	3	2	9	0	2	3	4	15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37	0	100	1	31	2	2	7	1	1	3	2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43	0	119	21	81	2	1	13	0	1	3	3	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42	1	284	3	12	3	2	12	0	1	3	3	3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13	1	129	13	62	3	2	1	0	2	4	5	9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74	1	299	20	136	4	2	8	0	1	3	3	21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10	0	280	17	131	5	1	10	1	1	1	2	16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37	0	20	8	19	2	2	7	1	1	3	2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
